sale_id,customer_id,product,quantity,unit_price,sale_date,region
1001,1,Widget A,3,29.99,2024-01-10,US
1002,2,Widget B,1,49.99,2024-01-12,CA
1003,1,Widget C,2,19.99,2024-01-15,US
1004,3,Widget A,5,29.99,2024-02-01,US
1005,4,Widget B,2,49.99,2024-02-14,DE
1006,5,Widget C,10,19.99,2024-02-20,US
1007,2,Widget A,1,29.99,2024-03-01,CA
1008,3,Widget B,4,49.99,2024-03-05,US
1009,1,Widget A,2,29.99,2024-03-10,US
1010,4,Widget C,3,19.99,2024-03-18,DE
1011,5,Widget B,1,49.99,2024-04-02,US
1012,2,Widget C,6,19.99,2024-04-15,CA
1013,3,Widget A,2,29.99,2024-04-22,US
1014,1,Widget B,3,49.99,2024-05-01,US
1015,4,Widget A,1,29.99,2024-05-10,DE
